Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D11, D13, D15, D3, D5, D7, D9",0603,8,EMERALD,C2984266
"D10, D12, D14, D16, D2, D4, D6, D8",D_SOD-123,8,1N4148,C81598
"J1, J2",TerminalBlock_Dibo_DB141V-2.54-6P_1x06_P2.54mm_Vertical,2,DB141V-2.54-6P,C2898748
"J3, J4, J5, J6",TerminalBlock_Dibo_DB142V-5.08-4P_1x04_P5.08mm_Vertical,4,DB142V-5.08-4P,C2898701
"K1, K2, K3, K4, K5, K6, K7, K8",Relay_SPST_Omron-G5Q-1A,8,G5Q-1A4-DC24V,C89311
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,5k6/100mW,C23189
"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8",RV_Disc_D9.50mm_W3.6mm_P5.08mm,8,275VAC,C2761646
